ts_event,symbol,best_level_ofi,ofi_L0,ofi_L1,ofi_L2,ofi_L3,ofi_L4,ofi_L5,ofi_L6,ofi_L7,ofi_L8,ofi_L9,ofi_norm_L0,ofi_norm_L1,ofi_norm_L2,ofi_norm_L3,ofi_norm_L4,ofi_norm_L5,ofi_norm_L6,ofi_norm_L7,ofi_norm_L8,ofi_norm_L9,integrated_ofi,cross_asset_ofi
2024-10-21T11:55:22.016715475Z,AAPL,0,0,0,0,-27,-15,-110,-10,-110,-100,-55,0,0,0,-0.114116653,-0.06339814,-0.464919696,-0.042265427,-0.464919696,-0.422654269,-0.232459848,0.187095765,0
2024-10-21T11:55:22.060173668Z,AAPL,0,0,0,0,27,15,110,10,110,100,55,0,0,0,0.112876254,0.06270903,0.459866221,0.04180602,0.459866221,0.418060201,0.22993311,-0.185062115,0
2024-10-21T11:55:22.132778490Z,AAPL,0,0,400,0,0,0,0,0,0,0,0,0,1.672240803,0,0,0,0,0,0,0,0,-0.106602444,0
2024-10-21T11:55:26.447978801Z,AAPL,-200,-200,0,0,0,0,0,0,0,0,0,-0.836120401,0,0,0,0,0,0,0,0,0,0.016646099,0
2024-10-21T11:55:30.365285173Z,AAPL,0,0,-400,-10,-27,-15,-110,-10,-110,-100,-55,0,-2.007024586,-0.050175615,-0.13547416,-0.075263422,-0.551931761,-0.050175615,-0.551931761,-0.501756147,-0.275965881,0.355321335,0
2024-10-21T11:55:30.365297270Z,AAPL,0,0,400,10,27,15,110,10,110,100,55,0,1.672240803,0.04180602,0.112876254,0.06270903,0.459866221,0.04180602,0.459866221,0.418060201,0.22993311,-0.296051597,0
2024-10-21T11:55:30.377046532Z,AAPL,0,0,0,0,-27,-15,-110,-10,-110,-100,-55,0,0,0,-0.114116653,-0.06339814,-0.464919696,-0.042265427,-0.464919696,-0.422654269,-0.232459848,0.187095765,0
2024-10-21T11:55:30.377110788Z,AAPL,0,0,0,30,0,0,0,0,0,0,0,0,0,0.125208681,0,0,0,0,0,0,0,-0.013139144,0
2024-10-21T11:55:30.509413271Z,AAPL,0,0,0,27,0,0,0,0,0,0,0,0,0,0.11397214,0,0,0,0,0,0,0,-0.011960005,0
2024-10-21T11:55:30.509458075Z,AAPL,0,0,0,0,0,-25,-200,-44,-155,-400,-1,0,0,0,0,-0.104384134,-0.835073069,-0.183716075,-0.647181628,-1.670146138,-0.004175365,0.326850084,0
2024-10-21T11:55:30.559949308Z,AAPL,0,0,400,0,0,0,0,0,0,0,0,0,1.670146138,0,0,0,0,0,0,0,0,-0.106468912,0
2024-10-21T11:55:31.194923125Z,AAPL,0,0,0,27,40,15,110,10,110,100,55,0,0,0.111524164,0.165220983,0.061957869,0.454357703,0.041305246,0.454357703,0.413052458,0.227178852,-0.204789515,0
2024-10-21T11:55:31.195023714Z,AAPL,0,0,0,0,-30,0,0,0,0,0,0,0,0,0,-0.125470514,0,0,0,0,0,0,0.023929724,0
2024-10-21T11:55:34.079261198Z,AAPL,-139,-139,0,0,0,0,0,0,0,0,0,-0.61722913,0,0,0,0,0,0,0,0,0,0.012288251,0
2024-10-21T11:55:35.302921978Z,AAPL,-2,-2,0,0,0,0,0,0,0,0,0,-0.008888889,0,0,0,0,0,0,0,0,0,0.000176967,0
2024-10-21T11:55:35.303067914Z,AAPL,-3,-3,-400,-27,-10,-15,-110,-10,-110,-100,-55,-0.013345196,-1.779359431,-0.120106762,-0.044483986,-0.066725979,-0.489323843,-0.044483986,-0.489323843,-0.444839858,-0.244661922,0.308794374,0
2024-10-21T11:55:35.304531207Z,AAPL,2,2,400,27,10,15,110,10,110,100,55,0.008892841,1.778568253,0.120053357,0.044464206,0.066696309,0.489106269,0.044464206,0.489106269,0.444642063,0.244553135,-0.308568549,0
2024-10-21T11:55:35.305736838Z,AAPL,-2,-2,-400,-27,-10,-15,-110,-10,-110,-100,-55,-0.008896797,-1.779359431,-0.120106762,-0.044483986,-0.066725979,-0.489323843,-0.044483986,-0.489323843,-0.444839858,-0.244661922,0.308705812,0
2024-10-21T11:55:35.374212373Z,AAPL,-400,-400,-27,-10,-15,-110,-10,-110,-100,-55,-1,-2.10748156,-0.142255005,-0.052687039,-0.079030558,-0.579557429,-0.052687039,-0.579557429,-0.52687039,-0.289778714,-0.005268704,0.289802938,0
2024-10-21T11:55:35.374226300Z,AAPL,0,0,0,200,15,110,10,110,100,55,1,0,0,0.9765625,0.073242188,0.537109375,0.048828125,0.537109375,0.48828125,0.268554688,0.004882813,-0.318643136,0
2024-10-21T11:55:38.243671650Z,AAPL,201,201,8,150,27,25,200,44,155,400,1,1.087074094,0.043266631,0.811249324,0.146024878,0.135208221,1.081665765,0.237966468,0.838290968,2.163331531,0.005408329,-0.560748344,0
2024-10-21T11:55:38.243683612Z,AAPL,-200,-200,0,0,0,0,0,0,0,0,0,-0.976085896,0,0,0,0,0,0,0,0,0,0.019432635,0
2024-10-21T11:55:38.298336797Z,AAPL,0,0,0,200,0,0,0,0,0,0,0,0,0,0.976085896,0,0,0,0,0,0,0,-0.102428468,0
2024-10-21T11:55:38.572413983Z,AAPL,-401,-401,-8,-150,-27,-25,-200,-44,-155,-400,-1,-1.958007813,-0.0390625,-0.732421875,-0.131835938,-0.122070313,-0.9765625,-0.21484375,-0.756835938,-1.953125,-0.004882813,0.52570369,0
2024-10-21T11:55:44.733510979Z,AAPL,29,29,27,10,200,15,110,10,110,100,55,0.139691715,0.130057803,0.048169557,0.963391137,0.072254335,0.529865125,0.048169557,0.529865125,0.481695568,0.264932563,-0.388291603,0
2024-10-21T11:55:44.791957886Z,AAPL,0,0,-27,-10,-200,-15,-110,-10,-110,-100,-55,0,-0.131707317,-0.048780488,-0.975609756,-0.073170732,-0.536585366,-0.048780488,-0.536585366,-0.487804878,-0.268292683,0.39039992,0
2024-10-21T11:55:51.293948230Z,AAPL,-200,-200,-201,-8,-150,-27,-25,-200,-44,-155,-400,-1.142857143,-1.148571429,-0.045714286,-0.857142857,-0.154285714,-0.142857143,-1.142857143,-0.251428571,-0.885714286,-2.285714286,0.720327612,0
2024-10-21T11:55:51.294217665Z,AAPL,200,200,201,8,150,27,25,200,44,155,400,0.975609756,0.980487805,0.03902439,0.731707317,0.131707317,0.12195122,0.975609756,0.214634146,0.756097561,1.951219512,-0.614913815,0
2024-10-21T11:55:51.365188500Z,AAPL,0,0,0,-200,-15,-110,-10,-110,-100,-55,-1,0,0,-1.052631579,-0.078947368,-0.578947368,-0.052631579,-0.578947368,-0.526315789,-0.289473684,-0.005263158,0.343463759,0
2024-10-21T11:55:51.401597368Z,AAPL,0,0,0,200,15,110,10,110,100,55,1,0,0,0.975609756,0.073170732,0.536585366,0.048780488,0.536585366,0.487804878,0.268292683,0.004878049,-0.318332265,0
2024-10-21T11:55:53.213328704Z,AAPL,0,0,0,0,0,0,0,-200,-44,-155,-400,0,0,0,0,0,0,-1.193317422,-0.262529833,-0.924821002,-2.386634845,0.437443109,0
2024-10-21T11:55:53.213365167Z,AAPL,0,0,0,0,0,25,26,200,44,155,400,0,0,0,0,0.122010737,0.126891166,0.976085896,0.214738897,0.756466569,1.952171791,-0.38894786,0
2024-10-21T11:55:54.691386316Z,AAPL,0,0,0,200,0,0,0,0,0,0,0,0,0,0.889284126,0,0,0,0,0,0,0,-0.093319667,0
2024-10-21T11:55:54.691398035Z,AAPL,201,201,8,150,25,26,200,44,155,400,1,0.980487805,0.03902439,0.731707317,0.12195122,0.126829268,0.975609756,0.214634146,0.756097561,1.951219512,0.004878049,-0.504507618,0
2024-10-21T11:55:54.691407713Z,AAPL,0,0,-8,-150,-25,-26,-200,-44,-155,-400,-1,0,-0.035571365,-0.666963095,-0.111160516,-0.115606936,-0.889284126,-0.195642508,-0.689195198,-1.778568253,-0.004446421,0.442073838,0
2024-10-21T11:55:54.745856609Z,AAPL,0,0,0,-200,0,0,0,0,0,0,0,0,0,-0.976085896,0,0,0,0,0,0,0,0.102428468,0
2024-10-21T11:55:54.745868744Z,AAPL,0,0,0,200,0,0,0,0,0,0,0,0,0,0.976085896,0,0,0,0,0,0,0,-0.102428468,0
2024-10-21T11:55:54.762492206Z,AAPL,-29,-29,-10,-200,-15,-110,-10,-110,-100,-55,-1,-0.140096618,-0.048309179,-0.966183575,-0.072463768,-0.531400966,-0.048309179,-0.531400966,-0.483091787,-0.265700483,-0.004830918,0.321125363,0
2024-10-21T11:55:54.762530320Z,AAPL,28,28,10,200,15,110,10,110,100,55,1,0.13671875,0.048828125,0.9765625,0.073242188,0.537109375,0.048828125,0.537109375,0.48828125,0.268554688,0.004882813,-0.324477741,0
2024-10-21T11:55:55.306692496Z,AAPL,0,0,0,-200,-15,-110,-10,-110,-100,-55,-1,0,0,-1.05374078,-0.079030558,-0.579557429,-0.052687039,-0.579557429,-0.52687039,-0.289778714,-0.005268704,0.343825681,0
2024-10-21T11:55:55.306705027Z,AAPL,0,0,0,400,15,110,10,110,100,55,1,0,0,1.779359431,0.066725979,0.489323843,0.044483986,0.489323843,0.444839858,0.244661922,0.004448399,-0.383655282,0
2024-10-21T11:55:55.361082355Z,AAPL,-200,-200,8,150,25,26,200,44,155,400,1,-0.889284126,0.035571365,0.666963095,0.111160516,0.115606936,0.889284126,0.195642508,0.689195198,1.778568253,0.004446421,-0.424369316,0
2024-10-21T11:55:55.706105479Z,AAPL,0,0,0,200,0,0,0,0,0,0,0,0,0,0.976085896,0,0,0,0,0,0,0,-0.102428468,0
2024-10-21T11:55:58.151580102Z,AAPL,0,0,0,200,0,0,0,0,0,0,0,0,0,0.889284126,0,0,0,0,0,0,0,-0.093319667,0
2024-10-21T11:56:07.493655598Z,AAPL,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.008900757,0,0,-0.000800813,0
2024-10-21T11:56:10.953492365Z,AAPL,200,200,0,0,0,0,0,0,0,0,0,0.97703957,0,0,0,0,0,0,0,0,0,-0.019451621,0
2024-10-21T11:56:10.953504236Z,AAPL,0,0,-200,0,0,0,0,0,0,0,0,0,-0.890075656,0,0,0,0,0,0,0,0,0.056740775,0
2024-10-21T11:56:11.008155483Z,AAPL,0,0,0,-200,0,0,0,0,0,0,0,0,0,-0.97703957,0,0,0,0,0,0,0,0.102528545,0
2024-10-21T11:56:11.008167451Z,AAPL,0,0,0,400,0,0,0,0,0,0,0,0,0,1.780151313,0,0,0,0,0,0,0,-0.186805457,0
2024-10-21T11:56:11.038752302Z,AAPL,-28,-28,-10,-400,-15,-110,-10,-110,-100,-55,-1,-0.12340238,-0.044072279,-1.762891141,-0.066108418,-0.484795064,-0.044072279,-0.484795064,-0.440722785,-0.242397532,-0.004407228,0.3853708,0
2024-10-21T11:56:11.038803026Z,AAPL,26,26,10,400,15,110,10,110,100,55,1,0.115812918,0.04454343,1.781737194,0.066815145,0.489977728,0.04454343,0.489977728,0.445434298,0.244988864,0.004454343,-0.389313216,0
2024-10-21T11:56:14.982879375Z,AAPL,0,0,200,0,0,0,0,0,0,0,0,0,0.97799511,0,0,0,0,0,0,0,0,-0.062345488,0
2024-10-21T11:56:14.982891924Z,AAPL,0,0,0,-200,0,0,0,0,0,0,0,0,0,-0.890868597,0,0,0,0,0,0,0,0.093485938,0
2024-10-21T11:56:15.036962807Z,AAPL,0,0,-200,200,0,0,0,0,0,0,0,0,-0.890868597,0.890868597,0,0,0,0,0,0,0,-0.036694614,0
2024-10-21T11:56:15.039085832Z,AAPL,0,0,0,0,0,200,44,153,400,1,600,0,0,0,0,0.709471444,0.156083718,0.542745654,1.418942888,0.003547357,2.128414331,-0.478203888,0
2024-10-21T11:56:15.039203352Z,AAPL,0,0,0,0,0,-200,-44,-153,-400,-1,-600,0,0,0,0,-0.890075656,-0.195816644,-0.680907877,-1.780151313,-0.004450378,-2.670226969,0.599936252,0
2024-10-21T11:56:17.922879284Z,AAPL,0,0,0,0,0,200,44,153,400,1,600,0,0,0,0,0.709471444,0.156083718,0.542745654,1.418942888,0.003547357,2.128414331,-0.478203888,0
2024-10-21T11:56:17.922956219Z,AAPL,0,0,0,0,0,-200,-44,-153,-400,-1,-600,0,0,0,0,-0.889284126,-0.195642508,-0.680302357,-1.778568253,-0.004446421,-2.667852379,0.599402739,0
2024-10-21T11:56:23.203362495Z,AAPL,0,0,200,0,0,0,0,0,0,0,0,0,0.976085896,0,0,0,0,0,0,0,0,-0.062223779,0
2024-10-21T11:56:23.203374367Z,AAPL,0,0,0,-200,0,0,0,0,0,0,0,0,0,-0.889284126,0,0,0,0,0,0,0,0.093319667,0
2024-10-21T11:56:23.230980890Z,AAPL,0,0,0,400,0,0,0,0,0,0,0,0,0,1.778568253,0,0,0,0,0,0,0,-0.186639334,0
2024-10-21T11:56:23.259005865Z,AAPL,0,0,0,200,0,0,0,0,0,0,0,0,0,0.976085896,0,0,0,0,0,0,0,-0.102428468,0
2024-10-21T11:56:23.260424017Z,AAPL,-26,-26,-10,-200,-15,-110,-10,-110,-100,-55,-1,-0.125422094,-0.048239267,-0.964785335,-0.0723589,-0.530631934,-0.048239267,-0.530631934,-0.482392668,-0.265315967,-0.004823927,0.320372523,0
2024-10-21T11:56:23.260520532Z,AAPL,27,27,10,200,15,110,10,110,100,55,1,0.131707317,0.048780488,0.975609756,0.073170732,0.536585366,0.048780488,0.536585366,0.487804878,0.268292683,0.004878049,-0.324064062,0
2024-10-21T11:56:24.985297090Z,AAPL,0,0,0,-200,-15,-110,-10,-110,-100,-55,-1,0,0,-1.052631579,-0.078947368,-0.578947368,-0.052631579,-0.578947368,-0.526315789,-0.289473684,-0.005263158,0.343463759,0
2024-10-21T11:56:24.985309618Z,AAPL,0,0,0,400,15,110,10,110,100,55,1,0,0,1.777777778,0.066666667,0.488888889,0.044444444,0.488888889,0.444444444,0.244444444,0.004444444,-0.383314255,0
2024-10-21T11:56:25.053201827Z,AAPL,0,0,-200,200,0,0,0,0,0,0,0,0,-0.888888889,0.888888889,0,0,0,0,0,0,0,-0.03661307,0
2024-10-21T11:56:29.970611371Z,AAPL,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-0.00444247,0,0,0.000399695,0
2024-10-21T11:56:34.567796323Z,AAPL,0,0,200,0,0,0,0,0,0,0,0,0,0.975134081,0,0,0,0,0,0,0,0,-0.062163102,0
2024-10-21T11:56:34.567809267Z,AAPL,0,0,0,-200,0,0,0,0,0,0,0,0,0,-0.888494003,0,0,0,0,0,0,0,0.093236753,0
2024-10-21T11:56:34.623413180Z,AAPL,0,0,-200,200,0,0,0,0,0,0,0,0,-0.888494003,0.888494003,0,0,0,0,0,0,0,-0.036596805,0
2024-10-21T11:56:42.272625996Z,AAPL,0,0,0,200,0,0,0,0,0,0,0,0,0,0.975134081,0,0,0,0,0,0,0,-0.102328587,0
2024-10-21T11:56:43.878708550Z,AAPL,-201,-201,-208,-150,-25,-30,-200,-44,-154,-400,-1,-0.934883721,-0.96744186,-0.697674419,-0.11627907,-0.139534884,-0.930232558,-0.204651163,-0.71627907,-1.860465116,-0.004651163,0.542215225,0
2024-10-21T11:56:43.878991240Z,AAPL,201,201,208,150,25,30,200,44,154,400,1,0.980009751,1.014139444,0.731350561,0.12189176,0.146270112,0.975134081,0.214529498,0.750853242,1.950268162,0.00487567,-0.568387486,0
2024-10-21T11:56:47.448697059Z,AAPL,0,0,200,0,0,0,0,0,0,0,0,0,1.080497029,0,0,0,0,0,0,0,0,-0.068879807,0
2024-10-21T11:56:47.557683879Z,AAPL,0,0,-200,0,0,0,0,0,0,0,0,0,-0.975134081,0,0,0,0,0,0,0,0,0.062163102,0
2024-10-21T11:56:51.014654312Z,AAPL,0,0,0,200,0,0,0,0,0,0,0,0,0,0.888494003,0,0,0,0,0,0,0,-0.093236753,0
2024-10-21T11:56:51.014666179Z,AAPL,0,0,200,0,0,0,0,0,0,0,0,0,0.975134081,0,0,0,0,0,0,0,0,-0.062163102,0
2024-10-21T11:56:51.014676787Z,AAPL,0,0,0,0,-25,-30,-200,-44,-154,-400,-1,0,0,0,-0.111111111,-0.133333333,-0.888888889,-0.195555556,-0.684444444,-1.777777778,-0.004444444,0.371441265,0
2024-10-21T11:56:55.866035650Z,AAPL,0,0,0,-200,25,30,200,44,154,400,1,0,0,-0.888494003,0.11106175,0.1332741,0.888494003,0.195468681,0.684140382,1.776988005,0.00444247,-0.278039501,0
2024-10-21T11:57:04.890399029Z,AAPL,-201,-201,-8,-350,-25,-30,-200,-44,-154,-400,-1,-0.855319149,-0.034042553,-1.489361702,-0.106382979,-0.127659574,-0.85106383,-0.187234043,-0.655319149,-1.70212766,-0.004255319,0.531124316,0
2024-10-21T11:57:04.890725062Z,AAPL,201,201,8,350,25,30,200,44,154,400,1,0.892936473,0.03553976,1.554864505,0.11106175,0.1332741,0.888494003,0.195468681,0.684140382,1.776988005,0.00444247,-0.554483404,0
2024-10-21T11:57:06.458943234Z,AAPL,1,1,27,10,400,15,110,10,110,100,55,0.00444247,0.11994669,0.0444247,1.776988005,0.06663705,0.488671701,0.0444247,0.488671701,0.444247001,0.244335851,-0.525081619,0
2024-10-21T11:57:06.459285665Z,AAPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-21T11:57:07.554141976Z,AAPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-21T11:57:08.621131954Z,AAPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-21T11:57:10.160087903Z,AAPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-21T11:57:14.110885099Z,AAPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-21T11:57:14.837669309Z,AAPL,0,0,-27,-10,-400,-15,-110,-10,-110,-100,-55,0,-0.121348315,-0.04494382,-1.797752809,-0.06741573,-0.494382022,-0.04494382,-0.494382022,-0.449438202,-0.247191011,0.531127927,0
2024-10-21T11:57:14.894521785Z,AAPL,0,0,29,10,400,15,110,10,110,100,55,0,0.128717266,0.044385264,1.775410564,0.066577896,0.488237905,0.044385264,0.488237905,0.443852641,0.244118953,-0.525093033,0
